Sample ID,Treatment,Treatment Details,Barcode,antibody,replicate,Flag,Normalized
BJ_01,Untreated,Untreated rep 1,21403,28017,1,0,2050
BJ_01,Untreated,Untreated rep 1,21403,33-1700,0,0,471
BJ_01,Untreated,Untreated rep 1,21403,33-1700,1,0,467
BJ_01,Untreated,Untreated rep 1,21403,44-200,0,0,2199
BJ_01,Untreated,Untreated rep 1,21403,44-200,1,0,1696
BJ_01,Untreated,Untreated rep 1,21403,44-280G,0,0,7803
BJ_01,Untreated,Untreated rep 1,21403,44-280G,1,0,6368
BJ_01,Untreated,Untreated rep 1,21403,44-572,0,0,1043
BJ_01,Untreated,Untreated rep 1,21403,44-572,1,0,951
BJ_01,Untreated,Untreated rep 1,21403,44-722G,0,0,5093
BJ_01,Untreated,Untreated rep 1,21403,44-722G,1,0,4504
BJ_01,Untreated,Untreated rep 1,21403,44-864,0,0,937
BJ_01,Untreated,Untreated rep 1,21403,44-864,1,0,608
BJ_01,Untreated,Untreated rep 1,21403,44-965,0,0,2217
BJ_01,Untreated,Untreated rep 1,21403,44-965,1,0,2007
BJ_01,Untreated,Untreated rep 1,21403,44-976G,0,0,5804
BJ_01,Untreated,Untreated rep 1,21403,44-976G,1,0,3557
BJ_01,Untreated,Untreated rep 1,21403,44-992G,0,0,3594
BJ_01,Untreated,Untreated rep 1,21403,44-992G,1,0,4509
BJ_01,Untreated,Untreated rep 1,21403,610087,0,0,445
BJ_01,Untreated,Untreated rep 1,21403,610087,1,0,597
BJ_01,Untreated,Untreated rep 1,21403,610122,0,0,6519
BJ_01,Untreated,Untreated rep 1,21403,610122,1,0,4074
BJ_01,Untreated,Untreated rep 1,21403,610145,0,0,261
BJ_01,Untreated,Untreated rep 1,21403,610145,1,0,228
BJ_01,Untreated,Untreated rep 1,21403,610151,0,1,7442
BJ_01,Untreated,Untreated rep 1,21403,610151,1,1,5680
BJ_01,Untreated,Untreated rep 1,21403,610204,0,1,1041
BJ_01,Untreated,Untreated rep 1,21403,610204,1,1,1044
BJ_01,Untreated,Untreated rep 1,21403,610236,0,0,6188
BJ_01,Untreated,Untreated rep 1,21403,610236,1,0,5544
BJ_01,Untreated,Untreated rep 1,21403,610270,0,0,6213
BJ_01,Untreated,Untreated rep 1,21403,610270,1,0,7785
BJ_01,Untreated,Untreated rep 1,21403,610551,0,0,7246
BJ_01,Untreated,Untreated rep 1,21403,610551,1,0,6232
BJ_01,Untreated,Untreated rep 1,21403,610981,0,0,7894
BJ_01,Untreated,Untreated rep 1,21403,610981,1,0,6666
BJ_01,Untreated,Untreated rep 1,21403,71-2300,0,0,1874
BJ_01,Untreated,Untreated rep 1,21403,71-2300,1,0,1478
BJ_01,Untreated,Untreated rep 1,21403,9205L,0,0,2796
BJ_01,Untreated,Untreated rep 1,21403,9205L,1,0,2351
BJ_01,Untreated,Untreated rep 1,21403,9261L,0,0,8338
BJ_01,Untreated,Untreated rep 1,21403,9261L,1,0,7812
BJ_01,Untreated,Untreated rep 1,21403,9375L,0,0,10701
BJ_01,Untreated,Untreated rep 1,21403,9375L,1,0,9176
BJ_01,Untreated,Untreated rep 1,21403,9595L,0,1,1357
BJ_01,Untreated,Untreated rep 1,21403,9595L,1,0,1236
BJ_01,Untreated,Untreated rep 1,21403,AB10424,0,0,743
BJ_01,Untreated,Untreated rep 1,21403,AB10424,1,0,593
BJ_01,Untreated,Untreated rep 1,21403,AF1518,0,0,3183
BJ_01,Untreated,Untreated rep 1,21403,AF1518,1,0,2694
BJ_01,Untreated,Untreated rep 1,21403,AHO0352,0,0,917
BJ_01,Untreated,Untreated rep 1,21403,AHO0352,1,0,1376
BJ_01,Untreated,Untreated rep 1,21403,AHZ0122,0,0,684
BJ_01,Untreated,Untreated rep 1,21403,AHZ0122,1,0,324
BJ_01,Untreated,Untreated rep 1,21403,AHZ0352,0,0,1640
